ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
8.9.0,true,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.
8.9.0,true,base,labels,object,core,,"{""application"": ""foo-bar"", ""env"": ""production""}",Custom key/value pairs.
8.9.0,true,base,message,match_only_text,core,,Hello World,Log message optimized for viewing in a log viewer.
8.9.0,true,base,tags,keyword,core,array,"[""production"", ""env2""]",List of keywords used to tag each event.
8.9.0,true,client,client.address,keyword,extended,,,Client network address.
8.9.0,true,client,client.as.number,long,extended,,15169,Unique number allocated to the autonomous system.
8.9.0,true,client,client.as.organization.name,keyword,extended,,Google LLC,Organization name.
8.9.0,true,client,client.as.organization.name.text,match_only_text,extended,,Google LLC,Organization name.
8.9.0,true,client,client.bytes,long,core,,184,Bytes sent from the client to the server.
8.9.0,true,client,client.domain,keyword,core,,foo.example.com,The domain name of the client.
8.9.0,true,client,client.geo.city_name,keyword,core,,Montreal,City name.
8.9.0,true,client,client.geo.continent_code,keyword,core,,NA,Continent code.
8.9.0,true,client,client.geo.continent_name,keyword,core,,North America,Name of the continent.
8.9.0,true,client,client.geo.country_iso_code,keyword,core,,CA,Country ISO code.
8.9.0,true,client,client.geo.country_name,keyword,core,,Canada,Country name.
8.9.0,true,client,client.geo.location,geo_point,core,,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.
8.9.0,true,client,client.geo.name,keyword,extended,,boston-dc,User-defined description of a location.
8.9.0,true,client,client.geo.postal_code,keyword,core,,94040,Postal code.
8.9.0,true,client,client.geo.region_iso_code,keyword,core,,CA-QC,Region ISO code.
8.9.0,true,client,client.geo.region_name,keyword,core,,Quebec,Region name.
8.9.0,true,client,client.geo.timezone,keyword,core,,America/Argentina/Buenos_Aires,Time zone.
8.9.0,true,client,client.ip,ip,core,,,IP address of the client.
8.9.0,true,client,client.mac,keyword,core,,00-00-5E-00-53-23,MAC address of the client.
8.9.0,true,client,client.nat.ip,ip,extended,,,Client NAT ip address
8.9.0,true,client,client.nat.port,long,extended,,,Client NAT port
8.9.0,true,client,client.packets,long,core,,12,Packets sent from the client to the server.
8.9.0,true,client,client.port,long,core,,,Port of the client.
8.9.0,true,client,client.registered_domain,keyword,extended,,example.com,"The highest registered client domain, stripped of the subdomain."
