ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
8.9.0,true,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.
8.9.0,true,ecs,ecs.version,keyword,core,,1.0.0,ECS version this event conforms to.
8.9.0,true,event,event.action,keyword,core,,user-password-change,The action captured by the event.
8.9.0,true,event,event.category,keyword,core,array,authentication,Event category. The second categorization field in the hierarchy.
8.9.0,true,event,event.ingested,date,core,,2016-05-23T08:05:35.101Z,Timestamp when an event arrived in the central data store.
8.9.0,true,event,event.kind,keyword,core,,alert,The kind of the event. The highest categorization field in the hierarchy.
8.9.0,false,event,event.original,keyword,core,,Sep 19 08:26:10 host CEF:0&#124;Security&#124; threatmanager&#124;1.0&#124;100&#124; worm successfully stopped&#124;10&#124;src=10.0.0.1 dst=2.1.2.2spt=1232,Raw text message of entire event.
8.9.0,true,event,event.outcome,keyword,core,,success,The outcome of the event. The lowest level categorization field in the hierarchy.
8.9.0,true,event,event.type,keyword,core,array,,Event type. The third categorization field in the hierarchy.
8.9.0,true,pancake_employee_statistics,pancake_employee_statistics.pancake,object,custom,,,Pancake event information
8.9.0,true,pancake_employee_statistics,pancake_employee_statistics.pancake.metrics,object,custom,,,Pancake employee metrics
8.9.0,true,pancake_employee_statistics,pancake_employee_statistics.pancake.metrics.average_response_time,float,custom,,120.5,Average response time
8.9.0,true,pancake_employee_statistics,pancake_employee_statistics.pancake.metrics.comment_count,long,custom,,25,Comment count
8.9.0,true,pancake_employee_statistics,pancake_employee_statistics.pancake.metrics.inbox_count,long,custom,,15,Inbox count
8.9.0,true,pancake_employee_statistics,pancake_employee_statistics.pancake.metrics.phone_number_count,long,custom,,8,Phone number count
8.9.0,true,pancake_employee_statistics,pancake_employee_statistics.pancake.metrics.private_reply_count,long,custom,,12,Private reply count
8.9.0,true,pancake_employee_statistics,pancake_employee_statistics.pancake.metrics.total_response_time,float,custom,,3012.75,Total response time
8.9.0,true,pancake_employee_statistics,pancake_employee_statistics.pancake.metrics.unique_comment_count,long,custom,,20,Unique comment count
8.9.0,true,pancake_employee_statistics,pancake_employee_statistics.pancake.metrics.unique_inbox_count,long,custom,,13,Unique inbox count
8.9.0,true,pancake_employee_statistics,pancake_employee_statistics.pancake.page,object,custom,,,Pancake page information
8.9.0,true,pancake_employee_statistics,pancake_employee_statistics.pancake.page.id,keyword,custom,,page_12345,Pancake page identifier
8.9.0,true,pancake_employee_statistics,pancake_employee_statistics.pancake.page.name,keyword,custom,,My Pancake Page,Pancake page name
8.9.0,true,pancake_employee_statistics,pancake_employee_statistics.pancake.page.name.text,match_only_text,custom,,My Pancake Page,Pancake page name
8.9.0,true,pancake_employee_statistics,pancake_employee_statistics.pancake.page.platform,keyword,custom,,facebook,Pancake page platform
8.9.0,true,pancake_employee_statistics,pancake_employee_statistics.pancake.page.timezone,keyword,custom,,America/New_York,Pancake page timezone
8.9.0,true,pancake_employee_statistics,pancake_employee_statistics.pancake.page.username,keyword,custom,,mypancakepage,Pancake page username
8.9.0,true,user,user.changes.domain,keyword,extended,,,Name of the directory the user is a member of.
8.9.0,true,user,user.changes.email,keyword,extended,,,User email address.
8.9.0,true,user,user.changes.full_name,keyword,extended,,Albert Einstein,"User's full name, if available."
8.9.0,true,user,user.changes.full_name.text,match_only_text,extended,,Albert Einstein,"User's full name, if available."
8.9.0,true,user,user.changes.group.domain,keyword,extended,,,Name of the directory the group is a member of.
8.9.0,true,user,user.changes.group.id,keyword,extended,,,Unique identifier for the group on the system/platform.
8.9.0,true,user,user.changes.group.name,keyword,extended,,,Name of the group.
8.9.0,true,user,user.changes.hash,keyword,extended,,,Unique user hash to correlate information for a user in anonymized form.
8.9.0,true,user,user.changes.id,keyword,core,,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.
8.9.0,true,user,user.changes.its.birthday,date,custom,,,User's birthday.
8.9.0,true,user,user.changes.its.created_at,date,custom,,,Time when the user was first created.
8.9.0,true,user,user.changes.its.delete_at,date,custom,,,The time when the user was deleted truly.
8.9.0,true,user,user.changes.its.email_verified,boolean,custom,,,User's email verification status.
8.9.0,true,user,user.changes.its.gender,keyword,custom,,,User's gender.
8.9.0,true,user,user.changes.its.identities,nested,custom,,,An array includes related user information.
8.9.0,true,user,user.changes.its.identities.user.domain,keyword,extended,,,Name of the directory the user is a member of.
8.9.0,true,user,user.changes.its.identities.user.email,keyword,extended,,,User email address.
8.9.0,true,user,user.changes.its.identities.user.full_name,keyword,extended,,Albert Einstein,"User's full name, if available."
8.9.0,true,user,user.changes.its.identities.user.full_name.text,match_only_text,extended,,Albert Einstein,"User's full name, if available."
8.9.0,true,user,user.changes.its.identities.user.group.domain,keyword,extended,,,Name of the directory the group is a member of.
8.9.0,true,user,user.changes.its.identities.user.group.id,keyword,extended,,,Unique identifier for the group on the system/platform.
8.9.0,true,user,user.changes.its.identities.user.group.name,keyword,extended,,,Name of the group.
8.9.0,true,user,user.changes.its.identities.user.hash,keyword,extended,,,Unique user hash to correlate information for a user in anonymized form.
8.9.0,true,user,user.changes.its.identities.user.id,keyword,core,,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.
8.9.0,true,user,user.changes.its.identities.user.name,keyword,core,,a.einstein,Short name or login of the user.
8.9.0,true,user,user.changes.its.identities.user.name.text,match_only_text,core,,a.einstein,Short name or login of the user.
8.9.0,true,user,user.changes.its.identities.user.risk.calculated_level,keyword,extended,,High,A risk classification level calculated by an internal system as part of entity analytics and entity risk scoring.
8.9.0,true,user,user.changes.its.identities.user.risk.calculated_score,float,extended,,880.73,A risk classification score calculated by an internal system as part of entity analytics and entity risk scoring.
8.9.0,true,user,user.changes.its.identities.user.risk.calculated_score_norm,float,extended,,88.73,A normalized risk score calculated by an internal system.
8.9.0,true,user,user.changes.its.identities.user.risk.static_level,keyword,extended,,High,"A risk classification level obtained from outside the system, such as from some external Threat Intelligence Platform."
8.9.0,true,user,user.changes.its.identities.user.risk.static_score,float,extended,,830.0,"A risk classification score obtained from outside the system, such as from some external Threat Intelligence Platform."
8.9.0,true,user,user.changes.its.identities.user.risk.static_score_norm,float,extended,,83.0,A normalized risk score calculated by an external system.
8.9.0,true,user,user.changes.its.identities.user.roles,keyword,extended,array,"[""kibana_admin"", ""reporting_user""]",Array of user roles at the time of the event.
8.9.0,true,user,user.changes.its.is_guest,boolean,custom,,,User is guest account.
8.9.0,true,user,user.changes.its.login_at,date,custom,,,Last time the user logged in.
8.9.0,true,user,user.changes.its.nemo_address,keyword,custom,,,User's NEMO wallet address.
8.9.0,true,user,user.changes.its.phone.country,keyword,custom,,,User's phone number country.
8.9.0,true,user,user.changes.its.phone.country_calling_code,keyword,custom,,,User's phone number country calling code.
8.9.0,true,user,user.changes.its.phone.extension,keyword,custom,,,User's phone number extension.
8.9.0,true,user,user.changes.its.phone.national_number,keyword,custom,,,User's phone number in national format.
8.9.0,true,user,user.changes.its.phone.number,keyword,custom,,,User's phone number in international format.
8.9.0,true,user,user.changes.its.phone_verified,boolean,custom,,,User's phone number verification status.
8.9.0,true,user,user.changes.its.register_app_id,keyword,custom,,,App ID where the user registered from.
8.9.0,true,user,user.changes.its.register_source_id,keyword,custom,,,Source ID where the user registered from.
8.9.0,true,user,user.changes.its.status,keyword,custom,,,User account's status.
8.9.0,true,user,user.changes.its.traits.anonymous_id,keyword,custom,,,User's anonymous_id.
8.9.0,true,user,user.changes.its.updated_at,date,custom,,,Time when the user was updated.
8.9.0,true,user,user.changes.name,keyword,core,,a.einstein,Short name or login of the user.
8.9.0,true,user,user.changes.name.text,match_only_text,core,,a.einstein,Short name or login of the user.
8.9.0,true,user,user.changes.risk.calculated_level,keyword,extended,,High,A risk classification level calculated by an internal system as part of entity analytics and entity risk scoring.
8.9.0,true,user,user.changes.risk.calculated_score,float,extended,,880.73,A risk classification score calculated by an internal system as part of entity analytics and entity risk scoring.
8.9.0,true,user,user.changes.risk.calculated_score_norm,float,extended,,88.73,A normalized risk score calculated by an internal system.
8.9.0,true,user,user.changes.risk.static_level,keyword,extended,,High,"A risk classification level obtained from outside the system, such as from some external Threat Intelligence Platform."
8.9.0,true,user,user.changes.risk.static_score,float,extended,,830.0,"A risk classification score obtained from outside the system, such as from some external Threat Intelligence Platform."
8.9.0,true,user,user.changes.risk.static_score_norm,float,extended,,83.0,A normalized risk score calculated by an external system.
8.9.0,true,user,user.changes.roles,keyword,extended,array,"[""kibana_admin"", ""reporting_user""]",Array of user roles at the time of the event.
8.9.0,true,user,user.domain,keyword,extended,,,Name of the directory the user is a member of.
8.9.0,true,user,user.effective.domain,keyword,extended,,,Name of the directory the user is a member of.
8.9.0,true,user,user.effective.email,keyword,extended,,,User email address.
8.9.0,true,user,user.effective.full_name,keyword,extended,,Albert Einstein,"User's full name, if available."
8.9.0,true,user,user.effective.full_name.text,match_only_text,extended,,Albert Einstein,"User's full name, if available."
8.9.0,true,user,user.effective.group.domain,keyword,extended,,,Name of the directory the group is a member of.
