ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
8.9.0,true,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.
8.9.0,true,base,labels,object,core,,"{""application"": ""foo-bar"", ""env"": ""production""}",Custom key/value pairs.
8.9.0,true,base,message,match_only_text,core,,Hello World,Log message optimized for viewing in a log viewer.
8.9.0,true,base,tags,keyword,core,array,"[""production"", ""env2""]",List of keywords used to tag each event.
8.9.0,true,client,client.geo.city_name,keyword,core,,Montreal,City name.
8.9.0,true,client,client.geo.continent_code,keyword,core,,NA,Continent code.
8.9.0,true,client,client.geo.continent_name,keyword,core,,North America,Name of the continent.
8.9.0,true,client,client.geo.country_iso_code,keyword,core,,CA,Country ISO code.
8.9.0,true,client,client.geo.country_name,keyword,core,,Canada,Country name.
8.9.0,true,client,client.geo.location,geo_point,core,,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.
8.9.0,true,client,client.geo.name,keyword,extended,,boston-dc,User-defined description of a location.
8.9.0,true,client,client.geo.postal_code,keyword,core,,94040,Postal code.
8.9.0,true,client,client.geo.region_iso_code,keyword,core,,CA-QC,Region ISO code.
8.9.0,true,client,client.geo.region_name,keyword,core,,Quebec,Region name.
8.9.0,true,client,client.geo.timezone,keyword,core,,America/Argentina/Buenos_Aires,Time zone.
8.9.0,true,client,client.ip,ip,core,,,IP address of the client.
8.9.0,true,ecs,ecs.version,keyword,core,,1.0.0,ECS version this event conforms to.
8.9.0,false,event,event.original,keyword,core,,Sep 19 08:26:10 host CEF:0&#124;Security&#124; threatmanager&#124;1.0&#124;100&#124; worm successfully stopped&#124;10&#124;src=10.0.0.1 dst=2.1.2.2spt=1232,Raw text message of entire event.
8.9.0,true,its,its.id,keyword,extended,,,Record's ID in ITS
8.9.0,true,related,related.ip,ip,extended,array,,All of the IPs seen on your event.
8.9.0,true,related,related.user,keyword,extended,array,,All the user names or other user identifiers seen on the event.
8.9.0,true,user,user.changes.domain,keyword,extended,,,Name of the directory the user is a member of.
8.9.0,true,user,user.changes.email,keyword,extended,,,User email address.
8.9.0,true,user,user.changes.full_name,keyword,extended,,Albert Einstein,"User's full name, if available."
8.9.0,true,user,user.changes.full_name.text,match_only_text,extended,,Albert Einstein,"User's full name, if available."
